Antecedent,Consequent,Support,Confidence,Lift
G1Level=Low,"G2Level=Low, SchoolSupport=no",0.25063291139240507,0.6971830985915494,2.275928297055058
"Internet=yes, Result=Fail",G1Level=Low,0.21518987341772153,0.8173076923076923,2.2734967497291443
"FamilySupport=yes, G2Level=Low",G1Level=Low,0.189873417721519,0.8152173913043479,2.2676821800367426
"G1Level=Low, Internet=yes",Result=Fail,0.21518987341772153,0.7456140350877194,2.2655195681511477
Result=Fail,"G1Level=Low, Internet=yes",0.21518987341772153,0.653846153846154,2.2655195681511477
"Address=U, Result=Fail",G1Level=Low,0.2,0.8144329896907216,2.2655002178016552
"Address=U, G1Level=Low",Result=Fail,0.2,0.7452830188679246,2.2645137880986943
"FamilySize=GT3, G1Level=Low",G2Level=Low,0.22025316455696203,0.8365384615384616,2.263237618545838
"Result=Fail, SchoolSupport=no",G1Level=Low,0.22025316455696203,0.8130841121495327,2.2617480584441227
G1Level=Low,G2Level=Low,0.29873417721518986,0.8309859154929577,2.248215319313139
G2Level=Low,G1Level=Low,0.29873417721518986,0.8082191780821917,2.248215319313139
"G1Level=Low, Internet=yes",G2Level=Low,0.2379746835443038,0.8245614035087719,2.2308339341504446
"G2Level=Low, School=GP",G1Level=Low,0.25569620253164554,0.8015873015873015,2.229767493852001
G1Level=Low,"G2Level=Low, School=GP",0.25569620253164554,0.7112676056338028,2.229767493852001
Result=Fail,G1Level=Low,0.26329113924050634,0.8000000000000002,2.225352112676057
G1Level=Low,Result=Fail,0.26329113924050634,0.7323943661971832,2.225352112676057
"Address=U, G1Level=Low",G2Level=Low,0.22025316455696203,0.8207547169811321,2.2205350219695013
"FamilySize=GT3, G1Level=Low",Result=Fail,0.19240506329113924,0.7307692307692307,2.220414201183432
"G2Level=Low, HigherEducation=yes",G1Level=Low,0.26582278481012656,0.7954545454545454,2.212708066581306
G1Level=Low,"G2Level=Low, HigherEducation=yes",0.26582278481012656,0.7394366197183099,2.212708066581306
"FamilySize=GT3, Result=Fail",G1Level=Low,0.19240506329113924,0.7916666666666667,2.202171361502348
"G1Level=Low, HigherEducation=yes",G2Level=Low,0.26582278481012656,0.8139534883720929,2.2021344377190184
G2Level=Low,"G1Level=Low, HigherEducation=yes",0.26582278481012656,0.7191780821917807,2.2021344377190184
"FamilySize=GT3, G2Level=Low",G1Level=Low,0.22025316455696203,0.790909090909091,2.2000640204865562
